battery,cycle,V_min,V_max,V_mean,I_min,I_max,I_mean,T_min,T_max,T_mean,duration_s,Capacity,SOH,EOL_cycle,RUL
B0005,0,3.479393559379272,4.2099486995035615,4.187419504014827,-4.030268477538787,1.5143932321982565,0.6434546691871927,24.167061880805868,27.445134031590747,25.32407901830568,7597.875,1.8564874208181574,92.82437104090788,253,253
B0005,1,2.612467347907089,4.191491807505295,3.5298286688693397,-2.0180146876333027,0.000728585272845447,-1.8187019641679727,24.325993424022467,38.98218133148803,32.572328114029,3690.234,1.8564874208181574,92.82437104090788,253,252
B0005,2,3.001950570776504,4.213016370444398,4.058826443375249,-3.361982908688226,1.5151784093535638,0.9490426727251161,24.528515200437052,29.34194895777482,26.635622628116085,10516.0,1.8514073352690423,92.57036676345211,253,251
B0005,3,2.587208728940726,4.189773213846608,3.5373201277859714,-2.016820542901454,0.002927403359080335,-1.8175598506612867,24.685948163596,39.033397966787035,32.72523522519307,3672.344,1.846327249719927,92.31636248599635,253,250
B0005,4,3.0358785775794024,4.212788046609961,4.058138828852896,-3.384407789097242,1.5168939445650547,0.9505286974657304,24.600173786523015,29.553300732538816,26.778175507896698,10484.547,1.8408382219716675,92.04191109858337,253,249
B0005,5,2.6519168938437794,4.188186735991303,3.5437367282719,-2.016573862170142,0.0014836763652280672,-1.8164865418840956,24.734266163954402,38.818796689817404,32.64286193755933,3651.641,1.8353491942234077,91.76745971117039,253,248
B0005,6,3.0661450551857485,4.212924011950438,4.058904789088504,-3.4122633601213583,1.5175028479320207,0.9523115206216739,24.49334629714403,29.456340289732644,26.70320405781683,10397.89,1.8353058609027602,91.76529304513801,253,247
B0005,7,2.592947964776547,4.188461118855572,3.5436661072601456,-2.0159359571668354,0.001547011952723541,-1.8255891938692528,24.652243741292516,38.7623045063458,32.51487646204882,3631.563,1.8352625275821128,91.76312637910564,253,246
B0005,8,3.0637656606174013,4.2128738833616,4.058329981003973,-3.403625146732859,1.5169487474809897,0.9477284862498987,24.42016992589388,29.4813335075363,26.617004288392003,10495.203,1.8349540178970773,91.74770089485386,253,245
B0005,9,2.547419651124539,4.188298524761055,3.5423432526672167,-2.017425579158831,0.001701454824503414,-1.8261139590277586,24.518700434435164,38.66539257343368,32.38234901543077,3629.172,1.8346455082120419,91.7322754106021,253,244
B0005,10,3.0593224041262927,4.212763963219923,4.059785107501149,-3.3944513625869224,1.5165104184246716,0.9326606943848299,24.41186883829393,29.39582042914756,26.51849450408942,10792.672,1.8351535841397957,91.75767920698978,253,243
B0005,11,2.5209480504077413,4.188815807948604,3.5413347346347575,-2.0162347618032066,0.0024899497555445145,-1.8168108743168803,24.51442664842638,38.75169504640032,32.43418218230641,3652.281,1.8356616600675495,91.78308300337747,253,242
B0005,12,3.0533599221041614,4.213176751734383,4.058914241429766,-3.401390462320561,1.5149343200832288,0.9322724824266048,24.527457541863313,29.438424119486054,26.620706323978894,10789.985,1.835403901495105,91.77019507475525,253,241
B0005,13,2.487927319492314,4.18839163793879,3.5410250495075215,-2.01583310669507,0.002314295882739856,-1.816791144707133,24.575581239008407,38.8207012322275,32.480416444757985,3650.828,1.8351461429226603,91.75730714613302,253,240
B0005,14,3.048720950345317,4.212850577044761,4.053425643583468,-3.385806497377117,1.5160376811966019,0.9653291698755072,24.545714784434754,29.510810563981206,26.737918888901717,10127.562,1.830451466744607,91.52257333723036,253,239
B0005,15,2.6652049047458775,4.188927891511958,3.554133296801584,-2.0166395518034546,0.002227616056915605,-1.8443412120754061,24.71132429046902,38.51713023385634,32.41046186109587,3572.453,1.8257567905665537,91.28783952832768,253,238
B0005,16,3.0824222303522406,4.213141772335243,4.055637707823975,-3.43387007729948,1.5173922491512082,0.9616213808811537,24.51382202883513,29.668813794471543,26.74145703066146,10147.952999999994,1.8252653217778434,91.26326608889217,253,237
B0005,17,2.6038584726333673,4.189029250882121,3.5529355991467955,-2.018357230695621,0.005401028321021492,-1.853972745505648,24.628487294051176,38.526267904657,32.3461408313,3550.594,1.8247738529891333,91.23869264945667,253,236
B0005,18,3.075795646323062,4.212949842741421,4.0551389874488235,-3.416543780338169,1.517754813457655,0.9608152867945828,24.435380667117133,29.779288735822295,26.7021703105932,10162.094,1.8246935607430346,91.23467803715172,253,235
B0005,19,2.552853984885676,4.189223427076418,3.5512057319376997,-2.0160718378149842,0.0030191479674457028,-1.8535899338510957,24.561560340089137,38.52698128472781,32.27679750791685,3551.25,1.824613268496936,91.2306634248468,253,234
B0005,20,3.06985284508505,4.2132271723869295,4.054491573689291,-3.4217714333372964,1.5160463401115014,0.961954518108792,24.32273250630084,29.71100043300344,26.608132946993933,10119.375,1.8246164105916933,91.23082052958466,253,233
B0005,21,2.4724483018527317,4.188916055911241,3.549292319740949,-2.0160713863396573,0.002626400189938571,-1.863380178294828,24.43128509546442,38.54143406601644,32.15709350345252,3530.25,1.8246195526864504,91.23097763432251,253,232
B0005,22,3.0612589860161115,4.212826399381091,4.0526146919932,-3.4044907346629887,1.5169315449208305,0.9688176644385617,24.44909427715232,29.79634895864274,26.63314786563377,10013.235,1.821147013713431,91.05735068567155,253,231
B0005,23,3.34157125606709,4.212863906558764,4.076087195502948,-3.78388997609184,1.517755800661927,0.948479102987148,24.588334332873952,30.37677905152779,27.033644494333256,9586.875,1.8176744747404112,90.88372373702056,253,230
B0005,24,2.64956413267546,4.189876247266316,3.559759220648976,-2.016851865845563,0.00236452370176732,-1.872968810287894,24.74037188089418,38.52197451768004,32.36407129853099,3491.016,1.8142019357673917,90.71009678836958,253,229
B0005,25,3.092615790717664,4.212724851227894,4.054612747973269,-3.4380894291317374,1.5187305848630464,0.9671176035785914,24.582626408111885,30.05302011094364,26.870618187745674,9952.359,1.8139770467611487,90.69885233805743,253,228
B0005,26,2.5724981777366227,4.189286794768804,3.558081969139198,-2.016393908986775,0.0018583785527610795,-1.8826095043160833,24.733107699311514,38.582485834057856,32.3181954403762,3470.281,1.8137521577549054,90.68760788774527,253,227
B0005,27,3.082964486167869,4.213057848582499,4.059265909682025,-3.4334448239833244,1.516640506364978,0.9281364622466176,24.46895730598046,30.168468843680714,26.738987031481408,10758.031000000003,1.813596324614244,90.67981623071219,253,226
B0005,28,2.5249886697730286,4.188837765892728,3.555692244172496,-2.0158117255163046,0.0022664654273509715,-1.882536787636365,24.44798340505406,38.520294134873915,32.15709029211502,3470.0,1.8134404914735822,90.67202457367911,253,225
B0005,29,3.0770823404741723,4.213191057068328,4.053495431054621,-3.432001975216655,1.5169693958592914,0.9687280220511734,24.320043101365826,30.06078601207466,26.692190227813647,9921.75,1.8080192475521164,90.40096237760582,253,224
B0005,30,2.694621861688723,4.189110301768517,3.562746818017503,-2.0193509920362724,0.001319946437255823,-1.8817935155260215,24.463097121123557,38.21358592965045,32.04407000314609,3450.297,1.8025980036306504,90.12990018153252,253,223
B0005,31,3.1099815648289453,4.212768567166564,4.057009589497505,-3.482051074636857,1.5155189973310466,0.9622055340791629,24.209464138213455,29.84105303532721,26.563313470921162,10000.25,1.8023524519384002,90.11762259692001,253,222
